,id,time,activity,appCat.builtin,appCat.communication,appCat.entertainment,appCat.finance,appCat.game,appCat.office,appCat.other,appCat.social,appCat.travel,appCat.unknown,appCat.utilities,appCat.weather,call,circumplex.arousal,circumplex.valence,mood,screen,sms
7,AS14.01,0 days 00:00:00.000000000,,,,,,,,,,,,,,1.0,-0.25,0.75,6.25,,1.0
8,AS14.01,1 days 00:00:00.000000000,,,,,,,,,,,,,,,0.0,0.3333333333333333,6.333333333333333,,
26,AS14.01,23 days 00:00:00.000000000,0.13405010398938863,14.26917272727273,55.0955263157895,53.024,6.1930000000000005,,57.40200000000001,29.968875000000004,75.14166666666668,70.41884615384616,,23.028999999999996,,1.0,0.2,0.2,6.2,153.66587179542597,
27,AS14.01,24 days 00:00:00.000000000,0.2368802192399581,7.781159574468086,51.697062500000015,46.662,7.025333333333333,,,14.020428571428573,36.63599999999999,37.305,,39.207,,1.0,0.6,0.5,6.4,47.61365115919778,1.0
28,AS14.01,25 days 00:00:00.000000000,0.14274111580506368,12.134396226415095,53.442030612244885,31.448666666666668,10.850750000000001,,,12.137166666666667,50.046611111111105,,,30.086,30.386,,0.2,0.8,6.8,67.06764357868985,
29,AS14.01,26 days 00:00:00.000000000,0.07896105611559798,4.982505747126434,47.54168717948718,122.121375,5.684333333333334,,3.01,11.092999999999998,74.96804651162789,83.961,,89.366,,1.0,0.8,0.0,6.0,76.77219898238471,
30,AS14.01,27 days 00:00:00.000000000,0.09837411239050675,10.02687378640777,69.43750675675675,34.103,10.763499999999999,,,29.80316666666667,68.55253571428571,,29.402875,22.2893,,,0.5,0.5,6.75,169.09728345720782,1.0
31,AS14.01,28 days 00:00:00.000000000,0.10130832167007593,8.460123188405793,47.061534031413615,130.06842857142857,8.721833333333334,,,16.249666666666666,124.10970270270268,,,33.365,,,-0.2,0.6,6.6,94.38966092159008,
32,AS14.01,29 days 00:00:00.000000000,0.1595106409690975,7.982642857142856,43.3532,71.03766666666667,14.072999999999999,,15.20425,9.755333333333333,71.95238461538463,23.657,,16.275363636363632,,1.0,0.2,0.8,7.0,129.20111110651933,1.0
33,AS14.01,30 days 00:00:00.000000000,0.09569802163712016,81.14995967741937,24.07869444444444,91.40027272727274,12.738,116.51799999999999,,37.6585,25.63705,59.63205263157894,,30.171699999999998,,1.0,-0.6,0.6,6.4,55.94873863187704,
34,AS14.01,31 days 00:00:00.000000000,0.06820281010186964,23.52566265060241,47.73143859649122,108.49526666666664,,,,24.22771428571428,59.111000000000004,17.478333333333335,,25.02654166666667,,1.0,0.2,1.0,8.0,130.0409687459469,1.0
35,AS14.01,32 days 00:00:00.000000000,0.049092970521542004,7.818207547169812,61.83357142857143,170.63077777777778,,,,12.333833333333333,55.895,,33.2385,38.296,,,-0.5,0.75,7.5,167.52644447927136,
36,AS14.01,33 days 00:00:00.000000000,0.07050548088338955,17.019568965517244,41.33827131782945,51.73294117647059,6.8758333333333335,51.176,,24.413999999999998,56.277291666666656,36.67620000000001,29.29,12.370882352941178,,1.0,0.0,0.6,7.4,95.45833871249225,
